,Unnamed: 0,Unnamed: 0.1,Localisation,Emplacement,name,date,Nombre de chambres,Prix par nuit,Nombre de voyageurs,Nombre de lits,Nombre de salles de bains,Localisation2,Vue sur le jardin_True,Vue sur la vallée_True,Vue sur la montagne_True,Baignoire_True,Sèche-cheveux_True,Bidet_True,Eau chaude_True,Lave-linge_True,Equipements de base_True,Cintres_True,Draps_True,Oreillers_True,Fer à repasser_True,Armoire_True,TV_True,Livres_True,Ventilateurs_True,Chauffage_True,Wifi_True,Cuisine_True,Four_True,Vaisselle et couverts_True,Jardin privé_True,Garage résidentiel_True,Parking gratuit_True,Ascenseur_True,Climatisation_True,Piscine_True,Vue sur le lac_True,Vue sur la baie_True,Saison,Score,Score1,Score2,Logement codé
0,0,0,"Perledo, Lombarofa, Italie","Emplacement4,6",Chambre privée dans : logement ⸱ Chez Matteo,17 juin 2022 - 19 juin 2022,1.0,27.0,1.0,1.0,1.0,perledo,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0.0,-0.037922890743022,-0.2815730808570904,-0.7216937737979147,2.0
1,1,1,"Abbaofa Lariana, Lombarofa, Italie","Emplacement4,8",Logement entier : appartement en résidence ⸱ Chez Irene,24 juin 2022 - 26 juin 2022,1.0,90.0,4.0,4.0,1.0,abbaofa lariana,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0.0,0.3556931141733805,0.2400403892050662,-0.0965741889292448,4.0
2,2,2,"Tremezzo, Lombarofa, Italie","Emplacement4,6",Logement entier : logement ⸱ Chez Alex,17 juin 2022 - 19 juin 2022,1.0,50.0,2.0,1.0,1.0,tremezzo,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0.0,0.3265797814776009,0.0963833302735451,-0.0385753497873155,5.0
3,3,3,"Moltrasio, Lombarofa, Italie","Emplacement4,7",Logement entier : appartement ⸱ Chez Riccardo,24 juin 2022 - 26 juin 2022,1.0,190.0,4.0,2.0,1.0,moltrasio,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0.0,0.7516125727642122,0.599921558155447,0.6382474176329473,4.0
4,4,4,"Vercana, Lombarofa, Italie","Emplacement4,7",Logement entier : appartement ⸱ Chez Roberto,10 juin 2022 - 12 juin 2022,1.0,85.0,4.0,2.0,1.0,vercana,0,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0.0,0.074935542787435,-0.2522718927850195,-0.6100286576898919,4.0
5,5,5,"Côme, Lombarofa, Italie",empty,Logement entier : appartement en résidence ⸱ Chez Vale E Mario,17 juin 2022 - 19 juin 2022,1.0,110.0,4.0,2.0,1.0,côme,0,0,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0.0,0.8659905893408593,0.6803338171262701,0.8659905893408593,4.0
6,6,7,"Lenno, Lombarofa, Italie",empty,Logement entier : appartement ⸱ Chez Veaceslav,10 juin 2022 - 12 juin 2022,1.0,95.0,2.0,1.0,1.0,lenno,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0.0,0.633889004842842,0.4206443914081145,0.3045333962509565,4.0
7,7,8,"Lezzeno, Lombarofa, Italie","Emplacement4,7",Logement entier : appartement ⸱ Chez Ilaria,24 juin 2022 - 26 juin 2022,1.0,80.0,2.0,1.0,1.0,lezzeno,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,1,0,0.0,0.506530001165745,0.3577657426106119,0.2296803591609717,4.0
8,8,10,"Blevio, Lombarofa, Italie","Emplacement4,3",Logement entier : cottage ⸱ Chez Giada,10 juin 2022 - 12 juin 2022,1.0,120.0,2.0,1.0,1.0,blevio,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0.0,0.5398034801943268,0.2075663000484014,0.4693977522706991,5.0
9,9,11,"Lezzeno, Lombarofa, Italie","Emplacement4,8",Logement entier : appartement ⸱ Chez Ilaria,24 juin 2022 - 26 juin 2022,2.0,120.0,4.0,2.0,1.0,lezzeno,0,0,0,0,1,1,1,0,1,1,1,1,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0.0,0.506530001165745,0.3577657426106119,0.2296803591609717,4.0
